id,codigo_acao_empresa,nome_empresa,setor_codigo_empresa,setor_empresa,segmento_empresa
588,ITSA3,ITAUSA,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
589,POMO3,MARCOPOLO,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
590,BMEB3,MERC BRASIL,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
591,BMEB4,MERC BRASIL,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
592,MODL11,MODALMAIS,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
593,PINE4,PINE,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
594,RAIZ4,RAIZEN,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
595,RAPT3,RANDON PART,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
596,TASA3,TAURUS ARMAS,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
597,TFCO4,TRACK FIELD,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
598,TRPL3,TRAN PAULIST,IGCX,CORPORATE GOVERNANCE,SPECIAL CORPORATE GOVERNANCE STOCK INDEX (IGC)
599,BAHI3,BAHEMA,ITAG,CORPORATE GOVERNANCE,SPECIAL TAG-ALONG STOCK INDEX (ITAG)
600,BGIP3,BANESE,ITAG,CORPORATE GOVERNANCE,SPECIAL TAG-ALONG STOCK INDEX (ITAG)
601,BGIP4,BANESE,ITAG,CORPORATE GOVERNANCE,SPECIAL TAG-ALONG STOCK INDEX (ITAG)
602,BIOM3,BIOMM,ITAG,CORPORATE GOVERNANCE,SPECIAL TAG-ALONG STOCK INDEX (ITAG)
603,BRKM6,BRASKEM,ITAG,CORPORATE GOVERNANCE,SPECIAL TAG-ALONG STOCK INDEX (ITAG)
604,CTNM4,COTEMINAS,ITAG,CORPORATE GOVERNANCE,SPECIAL TAG-ALONG STOCK INDEX (ITAG)
605,CRDE3,CR2,ITAG,CORPORATE GOVERNANCE,SPECIAL TAG-ALONG STOCK INDEX (ITAG)
606,GSHP3,GENERALSHOPP,ITAG,CORPORATE GOVERNANCE,SPECIAL TAG-ALONG STOCK INDEX (ITAG)
607,GEPA4,GER PARANAP,ITAG,CORPORATE GOVERNANCE,SPECIAL TAG-ALONG STOCK INDEX (ITAG)
